3, 1, 0.884, 0.5080779560012161
3, 2, 0.888, 0.3612928920047125
3, 3, 0.896, 0.3358782159994007
3, 4, 0.88, 0.4078530199985835
3, 5, 0.876, 0.37155044899554923
3, 6, 0.864, 0.5883192029941711
4, 1, 0.884, 0.5197412420020555
4, 2, 0.88, 0.38905551999778254
4, 3, 0.896, 0.4473416919936426
4, 4, 0.884, 0.38993471700086957
4, 5, 0.888, 0.35489008899457986
4, 6, 0.864, 0.4030177509994246
5, 1, 0.888, 0.20126371299556922
5, 2, 0.88, 0.3328881499983254
5, 3, 0.896, 0.4453213050001068
5, 4, 0.884, 0.35063507999439025
5, 5, 0.888, 0.4068520059954608
5, 6, 0.864, 0.4962727379970602
6, 1, 0.888, 0.45051910699839937
6, 2, 0.88, 0.48563651500444394
6, 3, 0.896, 0.4829127779958071
6, 4, 0.884, 0.4683771310010343
6, 5, 0.888, 0.5395203970037983
6, 6, 0.864, 0.6249937940010568
7, 1, 0.888, 0.5876479920043494
7, 2, 0.88, 0.6108602099993732
7, 3, 0.896, 0.5420288189998246
7, 4, 0.884, 0.5499559760064585
7, 5, 0.888, 0.525179983000271
7, 6, 0.864, 0.5950103849972948
8, 1, 0.888, 0.5011324969964335
8, 2, 0.88, 0.5221848799992586
8, 3, 0.896, 0.5821130379990791
8, 4, 0.884, 0.44017571700533153
8, 5, 0.888, 0.5058605790036381
8, 6, 0.864, 0.5900631510012317
9, 1, 0.888, 0.519235485997342
9, 2, 0.88, 0.4274240759987151
9, 3, 0.896, 0.5013346119958442
9, 4, 0.884, 0.40696099299384514
9, 5, 0.888, 0.36254795199783985
9, 6, 0.864, 0.5337595130040427
10, 1, 0.888, 0.5159799140019459
10, 2, 0.88, 0.4000411150045693
10, 3, 0.896, 0.44520507500419626
10, 4, 0.884, 0.5154613589984365
10, 5, 0.888, 0.35912073900544783
10, 6, 0.864, 0.5194895430031465
